NAME,LATITUDE,LONGITUDE
Lodgic Everyday Community,40.1130673,-88.2434899
25 O'Clock Brewing Company,40.114501,-88.212069
3 Ravens,40.0250149,-88.5728654
A&W All-American Food,40.0704738,-88.2496417
A-Ri-Rang,41.7658434,-88.1375701
Alexander's Steakhouse,40.1359853,-88.2455101
Alto Vineyards,40.1701736,-88.2960119
Amaravati,40.082495,-88.296249
Ambar India,41.7658736,-88.1375705
Analog,40.1135853,-88.2090767
Apple Dumpling,34.411995,-86.393928
Aroma Cafe,40.1171072,-88.2434106
Asian Taste,40.1090791,-88.2502423
Attie's Bar & Grill,40.0862658,-88.1697392
Auntie Anne's,41.814661,-87.7229166
Auntie Lee Chinese Kitchen,41.9549381,-87.9388533
B-Won,40.0923593,-88.245423
Bab Plus Korean,40.1064512,-88.2213197
Baldarotta's Porketta & Sicilian Sausage hosted by Grovestone,40.0977605,-88.2746694
Bangkok Thai,40.123704,-88.201063
Bangkok Thai & Pho 911,40.1102541,-88.2343374
Barrelhouse 34,42.1092978,-88.287624
Basil Thai Café,40.938885,-90.386795
Baskin Robbins/Dunkin Donuts,40.306243,-88.155891
Baxter's American Grille,40.0973878,-88.2461136
Bergie's - The Occasional Place,40.0250077,-88.5728666
Best Wok,40.1377839,-88.2606908
Betsy's Bistro,40.13234,-88.219404
Bevier Café,40.1049419,-88.2243695
Biaggi's Ristorante Italiano,40.0876012,-88.2461761
Big Grove Tavern,40.1122318,-88.2033538
Big JJ Fish & Chicken,25.492174,-80.434413
Biggby Coffee,40.112724,-88.276876
Billy Barooz Pub & Grill,40.0821952,-88.2962496
Billy Bob's BBQ,42.2516656,-89.1005794
Black Dog Smoke & Ale House,40.1149433,-88.207375
Blind Pig Brewery,40.1171401,-88.2434108
Blind Pig Company,42.1081348,-88.0616067
Blue Star Family Restaurant,41.901846,-87.780397
Bo Bo China,40.1103981,-88.2331124
Bo Bo's BBQ,38.087039,-88.1598
Bob Evans,40.1376497,-88.2438171
Bobo's BBQ,40.1125225,-88.2715843
Bombay Indian Grill,40.110181,-88.23338
Boomerang's Bar & Grill,39.801751,-89.6373062
Brass Rail,40.116227,-88.242824
Breaking Taco,38.32213,-89.182038
BrewLab Coffee,40.1107382,-88.2319178
Broadway Food Hall,39.482536,-88.357649
Brothers Bar & Grill,40.1102118,-88.2300807
Brown Bag Deli & Restaurant,41.8833394,-87.6346345
Bud's Bar,40.128829,-87.5998319
Bunny's Tavern,40.1132078,-88.2082966
Burrito King,40.1103981,-88.2331124
Butcher Boy Burgers,40.00032,-89.25037
Buzzard's Fine Dining & Other Things,40.00032,-89.25037
C&C Kitchen,40.3106806,-88.1586749
Cactus Grill,40.0996477,-88.244778
Café Kopi,40.1126741,-88.2064176
