NAME,LATITUDE,LONGITUDE
Zorba's,40.1102151,-88.22991
Jenkins Catering,40.1164205,-88.2433829
The Red Herring Vegetarian Restaurant,40.1067707,-88.2252161
Pekara Bakery & Bistro,40.1125573,-88.2568443
Neil St. Blues,40.1184918,-88.2437783
Nando Milano Trattoria,40.1176084,-88.2434254
Hamilton Walker's,40.11758,-88.243638
Pizzeria Antica,40.1166868,-88.24282
The Bread Company,40.1068135,-88.223744
Naya,40.1103163,-88.2367212
Collective Pour,40.1186919,-88.2434444
Howdy Burger,40.1102146,-88.2299343
Smackin' The Truck,40.1164205,-88.2433829
Blaze Pizza,40.1105736,-88.2291636
"Oh, Honey Pie Truck",40.116876,-88.243624
Cream & Flutter,40.1168349,-88.2421783
Insomnia Cookies,40.1091862,-88.2316942
Cold Stone Creamery,40.1101242,-88.2315244
Cocomero,40.1101496,-88.2289947
Baskin Robbins,40.1167409,-88.2114576
Bevier Café,40.1047591,-88.2242089
Rosati's Authentic Chicago Pizza,40.1068667,-88.2217175
Potbelly's,40.1100816,-88.2318659
Jupiter's Pizzeria and Billiards,40.1178875,-88.2414231
J. Gumbo's Cajun and Creole Cooking Co.,40.1063145,-88.2213205
Great Harvest Bread Company,40.11642,-88.24338
Chipotle,40.137435,-88.2586673
Black Dog Smoke & Ale House,40.1179467,-88.2402927
Hendrick House,40.1106586,-88.2194882
Blind Pig Brewery,40.1171401,-88.2434108
Timpone's,40.1067818,-88.223744
Cafe Sababa,40.1089851,-88.2318309
Vinny's Pizza,40.1105116,-88.2399968
Maize Mexican Grill,40.1104203,-88.2389625
Garbanzo Mediterranean Fresh,40.1105736,-88.2291636
Watson's Shack & Rail,40.117329,-88.243593
Miga,40.1184918,-88.2437783
Auntie Lee Chinese Kitchen,40.110122,-88.240425
Y Eatery,40.106721,-88.228936
Wingin' Out,40.1099576,-88.2351344
Tortica's,40.110428,-88.2325805
Szechuan China,40.112815,-88.238824
Sushi Rock,40.1102137,-88.2299831
Sushi Kame,40.1183573,-88.2441267
Sushi Ichiban,40.1113373,-88.229
Spoon House Korean Kitchen,40.1104271,-88.2294153
South China Restaurant,40.1125397,-88.240438
Kung Fu BBQ,40.1091508,-88.2317231
Chopstix,40.1103401,-88.2366394
Pho Cafe,40.1102113,-88.2301051
Perkin's Restaurant & Bakery,40.1164773,-88.2243934
Peking Garden,40.1180507,-88.2448957
Ozu Ramen,40.1113787,-88.230584
Noodles & Co.,40.1104224,-88.2307897
Niro's Gyros,40.1099576,-88.2351344
Murphy's Pub,40.1104224,-88.2300402
Mia Za's,40.1101957,-88.2292323
Merry Ann's Diner,40.1068667,-88.2217175
Manzella's Italian Patio,40.1158474,-88.2389717
Manolo's Pizza & Empanadas,40.1069133,-88.2219766
Mandarin Wok,40.1101812,-88.2333562
Latte Da!,40.056481,-88.253195
Lai Lai Wok,40.110336,-88.23352
Kyoto Sushi,40.1102113,-88.2301051
Ko Fusion,40.319928,-88.283743
Koto Ramen,40.1104504,-88.231656
Joe's Brewery,40.1101036,-88.2319433
Jerusalem Restaurant,40.111385,-88.229002
Fat Sandwich Company,40.1091862,-88.2316942
Intermezzo Café at Krannert,40.1086266,-88.2228056
Hot Wok Express,40.116488,-88.222541
Home of Gourmet Chinese & Thai,40.1080534,-88.2301372
Fresh International Market,40.1114493,-88.2435837
Fernando's,40.116876,-88.243624
Cravings,40.1113797,-88.2290018
Espresso Royale,40.1015561,-88.2317856
Caffe Bene,40.1104252,-88.2309368
Burrito King,40.110205,-88.240265
Brothers Bar & Grill,40.1102118,-88.2300807
Bo Bo China,40.1103981,-88.2331124
Basil Thai Café,40.1068667,-88.2217175
Bangkok Thai & Pho 911,40.1103465,-88.2332646
Bab Plus Korean,40.1063145,-88.2213205
BrewLab Coffee,40.1107382,-88.2319178
Flying Machine Avionics,40.1151976,-88.2385343
Jurassic Grill,40.110205,-88.240265
Latea Lounge,40.1113787,-88.230584
Mid-Summer Lounge,40.1102146,-88.2299343
Destihl Brew Works,40.1184918,-88.2437783
Golden Harbor,40.1114493,-88.2435837
Fiesta Café,40.1147731,-88.2384771
Evo Café,40.110158,-88.230465
The Himalayan Chimney,40.1183572,-88.2441538
Esquire Lounge,40.1166611,-88.2424063
Empire Chinese Restaurant,40.1103465,-88.2332646
Dragon Fire,40.1164205,-88.2433829
Cracked: The Egg Came First,40.1102132,-88.2300075
Cowboy Monkey,40.1174716,-88.2431617
Caffé Paradiso,40.1057621,-88.2194361
Bombay Indian Grill,40.110181,-88.23338
Aroma Cafe,40.1171072,-88.2434106
Ambar India,40.1113744,-88.2290016
A-Ri-Rang,40.1113691,-88.2290013
Seven Saints,40.1165582,-88.2419945
The Pop Stop,40.118167,-88.243474
Legends Bar & Grill,40.1103677,-88.2315951
Sakanaya,40.1101552,-88.2330881
Quality Bar,40.1169757,-88.2434097
