NAME,LATITUDE,LONGITUDE
Lodgic Everyday Community,40.0944676,-88.2451767
Analog,40.1128345,-88.208843
Industrial Donut,33.5941408,-96.3648861
Windy City Express,40.1097266,-88.2087623
Zorba's,40.1102151,-88.22991
Jenkins Catering,40.1164205,-88.2433829
Monarch Brewing Company,40.0241479,-88.5712403
Clever Moose Market Cafe,40.0944676,-88.2451767
Courier Café,40.1129564,-88.2093752
ET's Downtown Rantoul,40.3105089,-88.1606206
Sticky Rice,40.1198394,-88.2437618
Ott's Drive-In,40.306263,-88.155891
The Red Herring Vegetarian Restaurant,40.1067707,-88.2252161
Kohinoor Indian Restaurant & Lounge,40.1211875,-88.2432218
Crane Alley,40.1121737,-88.2081071
The Pink Pig,40.111431,-87.960546
Pekara Bakery & Bistro,40.1125573,-88.2568443
Neil St. Blues,40.1184918,-88.2437783
Big Grove Tavern,40.319928,-88.283743
Caribbean Grill,40.0875524,-88.2475664
Baxter's American Grille,40.0973878,-88.2461136
Silvercreek Restaurant,40.115148,-88.208902
Nando Milano Trattoria,40.1176084,-88.2434254
Dancing Dog Eatery & Juicery,40.1126291,-88.2083609
Sun Singer Wine & Spirits,40.0832094,-88.2644318
Everyday Kitchen Restaurant & Bar,40.0944676,-88.2451767
Houlihan's,40.0943211,-88.2384427
Hamilton Walker's,40.11758,-88.243638
JT Walker's Restaurant,40.1950047,-88.4039758
Project 47 Smokehouse,40.194922,-88.399403
Baldarotta's Porketta & Sicilian Sausage hosted by Grovestone,40.0977605,-88.2746694
Pizzeria Antica,40.1166868,-88.24282
The Bread Company,40.1068135,-88.223744
The Wheelhouse,40.1121321,-88.0422956
Biaggi's Ristorante Italiano,40.0876012,-88.2461761
El Toro at the Fields,40.0824472,-88.3086099
Naya,40.1103163,-88.2367212
Collective Pour,40.1186919,-88.2434444
Howdy Burger,40.1102146,-88.2299343
25 O'Clock Brewing Company,40.114501,-88.212069
Smackin' The Truck,40.1164205,-88.2433829
Moki Sushi,40.0924854,-88.2456193
Blaze Pizza,40.1105736,-88.2291636
Yoyo's Frozen Yogurt,40.1929515,-88.4005791
The Tastee Cup,39.7163284,-88.4725456
The Snack Shack,39.98177,-88.261257
TCBY,40.0972455,-88.2750033
Roselen's Coffees and Delights,39.710308,-88.4604423
Pies by Inge,40.0255564,-88.5729129
"Oh, Honey Pie Truck",40.116876,-88.243624
Jarling's Custard Cup,40.0980044,-88.2468826
El Oasis,40.074573,-88.169093
Double Dip,39.990102,-88.262452
Sidney Dairy Barn,40.192668,-87.982699
Oberweis Dairy,40.0929452,-88.2460874
Red Bicycle Ice Cream,40.0830505,-88.1903755
Quenchers Smoothies & Ice Cream,40.116313,-88.241855
Marble Slab Creamery,40.0703891,-88.2515366
Lenny's Ice Cream Gallery,40.3053295,-88.0214735
Cream & Flutter,40.1168349,-88.2421783
Cool Bliss Popped Bliss,40.1126849,-88.2420275
Insomnia Cookies,40.1091862,-88.2316942
Cookies by Design,40.116313,-88.241855
Cold Stone Creamery,40.1101242,-88.2315244
Cocomero,40.1101496,-88.2289947
Baskin Robbins/Dunkin Donuts,40.306243,-88.155891
Baskin Robbins,40.1167409,-88.2114576
Bevier Café,40.1047591,-88.2242089
Wood N' Hog Barbecue,40.114875,-88.0392484
Smoky's House BBQ,40.0714919,-88.2513368
Rosati's Authentic Chicago Pizza,40.1068667,-88.2217175
Potbelly's,40.1100816,-88.2318659
Penn Station,40.1432418,-88.2591942
Papa Del's,40.103329,-88.243795
Panchero's Mexican Grill,40.0917141,-88.246263
Olive Garden,40.1358739,-88.2411692
O'Charley's,40.1432087,-88.2560367
Monical's Pizza,40.0293072,-88.5801921
Monical's,40.0834859,-88.1903737
Lil Porgy's BBQ,40.116345,-88.207709
Jupiter's Pizzeria and Billiards,40.1178875,-88.2414231
Jupiter's At The Crossing,40.0819148,-88.2967223
J. Gumbo's Cajun and Creole Cooking Co.,40.1063145,-88.2213205
Hickory River Smokehouse,40.1288365,-88.1984587
Great Harvest Bread Company,40.11642,-88.24338
Giordano's Pizza,40.142697,-88.242566
El Toro of St. Joseph,40.1113413,-88.0414414
El Toro II,40.1070936,-88.243905
El Toro Bravo,40.1129945,-88.2850854
El Toro,40.312071,-88.1302248
Classic Events Catering,40.088513,-88.17433
Chipotle,40.137435,-88.2586673
Chester's BBQ,40.1138186,-88.2433839
C&C Kitchen,40.3106806,-88.1586749
Buffalo Wild Wings,40.068677,-88.253105
Black Dog Smoke & Ale House,40.1179467,-88.2402927
Hendrick House,40.1106586,-88.2194882
Crudo Wine Bar,40.1127372,-88.2062015
Blind Pig Brewery,40.1171401,-88.2434108
Riggs Beer Company,40.0936729,-88.1624519
La Mixteca,40.1165477,-88.2047815
Pour Bros. Craft Taproom,40.1162309,-88.2420353
The Vault,40.113999,-87.956049
Fat City Bar & Grill,40.1107411,-88.2426419
Timpone's,40.1067818,-88.223744
Ice Daddy's,39.98177,-88.261257
Scratch,40.1113415,-88.0413817
Greenhouse Cafe,39.999887,-88.657932
That Burger Joint,40.0929452,-88.2460874
Bergie's - The Occasional Place,40.0250077,-88.5728666
Core Life Eatery,40.1470811,-88.2578757
Cafe Sababa,40.1089851,-88.2318309
Vinny's Pizza,40.1105116,-88.2399968
Breaking Taco,40.194475,-88.401174
Broadway Food Hall,40.123761,-88.207673
Maize at the Station,40.388168,-88.127324
Maize Mexican Grill,40.1104203,-88.2389625
Garbanzo Mediterranean Fresh,40.1105736,-88.2291636
Scotty's Brewhouse,40.0922873,-88.246241
Watson's Shack & Rail,40.117329,-88.243593
Miga,40.1184918,-88.2437783
Auntie Lee Chinese Kitchen,40.110122,-88.240425
Y Eatery,40.106721,-88.228936
Xinh Xinh Café,40.112378,-88.204901
Wok,40.1957377,-88.3979442
Wingin' Out,40.1099576,-88.2351344
Villa Pizza,40.142697,-88.242566
Urbana Family Garden,40.1324865,-88.2192426
Tumble Inn,40.0944676,-88.2451767
Traxside Bar & Grill,39.9863273,-88.2607591
Tortica's,40.110428,-88.2325805
Toro Loco,40.127545,-88.199438
TK's Cheesesteak,40.3093061,-88.1585978
Tin Roof Tavern,40.1178509,-88.2040375
Tienda Guatemala,40.1151683,-88.209118
The Second Cup,40.306842,-88.155897
The Ribeye,40.0961586,-88.245412
The Coffee House of Mahomet,40.1957377,-88.3979442
The Clark Bar,40.1152379,-88.2454011
Thara Thai,40.1315666,-88.2565565
Texas Roadhouse,40.117954,-88.2811039
"Tasty Fish, Chicken & Grill",40.137024,-88.243695
Wienerschnitzel/Tastee Freez,40.112967,-88.282872
Taste of Thai,40.3105182,-88.1584504
Tang Dynasty,40.111895,-88.219248
Sunny China Buffet,40.092884,-88.190658
Super Taco,40.1422437,-88.2510899
Taco Motorizado,40.1179311,-88.2042263
T.G.I. Friday's,40.1378449,-88.2453911
Szechuan China,40.112815,-88.238824
Sweet Indulgence,40.0832148,-88.264687
Sushi Rock,40.1102137,-88.2299831
Sushi Kame,40.1183573,-88.2441267
Sushi Ichiban,40.1113373,-88.229
Super WOK,40.0972455,-88.2752514
Stagecoach at Gordyville,40.312649,-88.040452
Spoon House Korean Kitchen,40.1104271,-88.2294153
South China Restaurant,40.1125397,-88.240438
Sitara Indian Restaurant & Lounge,40.1119449,-88.2086683
Sidney Saloon,40.0239351,-88.0731965
Shooters Bar & Grill,40.3091583,-88.1588001
Seoul Taco,40.111409,-88.036978
San Maru,40.08245,-88.2962491
Sammy's Pancake House,40.1286157,-88.2766301
Sammer's Bar & Grill,40.310821,-88.157302
Sam's Café,40.1127215,-88.2064173
Roch's,41.676486,-86.252097
Rich's Family Restaurant,40.1167503,-87.960341
Red Wheel Restaurant,40.3070831,-88.1733073
Red Lobster,40.1384377,-88.2586612
Rainbow Garden,40.1177173,-88.2058577
Kung Fu BBQ,40.1091508,-88.2317231
Chopstix,40.1103401,-88.2366394
R & I Restaurant,39.7163505,-88.4725457
Po Boy's,40.1177173,-88.2058577
Pizza Roma,40.3108805,-88.3523572
Pipa's Pub,40.1102153,-88.2827265
Pia's Sports Bar & Grill,40.1127168,-88.2727333
Pho Cafe,40.1102113,-88.2301051
Philo Tavern,40.006909,-88.159776
Perkin's Restaurant & Bakery,40.1164773,-88.2243934
Peking House,40.1948155,-88.3961884
Peking Garden,40.1180507,-88.2448957
Papa Murphy's,40.1134587,-88.2030915
Padano's Pizza Co.,40.112456,-88.0415847
Ozu Ramen,40.1113787,-88.230584
Outback Steakhouse,40.1343767,-88.2579158
Original Pancake House,40.1127818,-88.2784189
Old Chicago Pizza,40.139188,-88.244067
Oishi,40.319478,-88.212826
North Forty,40.302923,-88.021358
Noodles & Co.,40.1104224,-88.2307897
Niro's Gyros,40.1099576,-88.2351344
My Thai,40.112988,-88.284832
Murphy's Pub,40.1104224,-88.2300402
Monticello Red Wheel,40.0542142,-88.5612799
Ming Garden,40.1024328,-88.2767662
Mia Za's,40.1101957,-88.2292323
Merry Ann's Diner,40.1068667,-88.2217175
Meatheads Burgers & Fries,40.1014261,-88.2445119
Mas Amigos,40.113268,-88.318009
Manzella's Italian Patio,40.1158474,-88.2389717
Manolo's Pizza & Empanadas,40.1069133,-88.2219766
Mandarin Wok,40.1101812,-88.2333562
Main Street Pub,40.0247184,-88.5722324
Main Street Belly Deli,40.0353966,-87.9581637
Los Zarapes,40.1967693,-88.3961211
Los Toros Numero 2,40.0101707,-88.5759391
Lucky Moon Pies and More,40.191837,-88.403208
Longhorn Steakhouse,40.1413492,-88.2585631
Little Caesar's,40.1035048,-88.2766816
Lincoln Street Lounge,39.909858,-87.996241
Le Peep,40.089439,-88.24611
Latte Da!,40.056481,-88.253195
Lai Lai Wok,40.110336,-88.23352
La Luna Café,40.1124662,-88.0415847
La Cascada Mexican Grill,39.710308,-88.4604196
La Bamba Mexican Restaurant,40.1195641,-88.2778037
Kyoto Sushi,40.1102113,-88.2301051
Kusu Kusu Asian Grill,39.9883813,-88.2621999
Krispy Krunchy Chicken,40.1272574,-88.2536173
Green Street Café,40.1098751,-88.2410343
Grovestone,40.0977605,-88.2746694
Ko Fusion,40.319928,-88.283743
Koto Ramen,40.1104504,-88.231656
Kato's Cajun,40.116313,-88.241855
Juanito's Tacos,40.1337676,-88.2387896
Joe's Brewery,40.1101036,-88.2319433
Jet's Pizza,40.1120758,-88.2433789
Jerusalem Restaurant,40.111385,-88.229002
Jack's Tavern,39.9854892,-88.2592163
J & J's Homestead,40.3053446,-88.0214736
Fat Sandwich Company,40.1091862,-88.2316942
Intermezzo Café at Krannert,40.1086266,-88.2228056
I Wok,40.0589817,-88.2529739
I Café,40.0937411,-88.2373136
Huber's,40.1185118,-88.2684968
Huaraches Moroleon,40.1067191,-88.1957771
Hot Wok Express,40.116488,-88.222541
Hooters,40.0954301,-88.2462544
